MILUTINOV NIKOLA,20:57,16,6/8,1/1,1/1,5,2,7,0,0,1,1,1,2,3,21,01.29.2021,CSKA,Bayern,TRUE
KURBANOV NIKITA,29:22,0,0/1,0,0,1,7,8,2,0,2,0,0,1,0,6,01.29.2021,CSKA,Bayern,TRUE
BOLOMBOY JOEL,29:56,10,4/4,0,2/2,1,3,4,1,0,2,2,0,5,2,12,02.04.2021,CSKA,Valencia,FALSE
KHOMENKO ALEXANDER,0:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,02.04.2021,CSKA,Valencia,FALSE
JAMES MIKE,40:08,37,7/12,4/15,11/13,1,2,3,7,4,6,0,1,2,7,31,02.04.2021,CSKA,Valencia,FALSE
HILLIARD DARRUN,6:32,2,0,0/1,2/2,0,1,1,0,0,0,0,0,2,1,1,02.04.2021,CSKA,Valencia,FALSE
UKHOV IVAN,8:48,0,0,0/2,0,0,0,0,1,1,0,0,0,2,0,-2,02.04.2021,CSKA,Valencia,FALSE
HACKETT DANIEL,43:15,8,0/3,2/4,2/2,3,3,6,4,1,2,0,1,2,8,17,02.04.2021,CSKA,Valencia,FALSE
ANTONOV SEMEN,19:01,2,1/3,0/2,0,1,2,3,0,0,0,1,0,3,0,-1,02.04.2021,CSKA,Valencia,FALSE
STRELNIEKS JANIS,21:32,8,1/2,2/4,0,0,1,1,1,0,0,0,0,3,1,5,02.04.2021,CSKA,Valencia,FALSE
VOIGTMANN JOHANNES,42:19,19,5/5,2/7,3/3,1,8,9,4,0,1,1,0,2,2,27,02.04.2021,CSKA,Valencia,FALSE
KURBANOV NIKITA,38:25,17,3/4,3/5,2/3,0,4,4,3,1,2,1,0,4,2,18,02.04.2021,CSKA,Valencia,FALSE
LUNDBERG IFFE,26:26,13,2/4,3/6,0/2,0,4,4,3,2,0,0,0,1,1,15,02.25.2021,CSKA,Olympiacos,FALSE
BOLOMBOY JOEL,24:57,10,3/4,1/3,1/2,3,5,8,0,1,0,0,0,2,1,14,02.25.2021,CSKA,Olympiacos,FALSE
JAMES MIKE,30:19,15,3/7,2/6,3/5,1,3,4,6,0,4,0,1,2,8,16,02.25.2021,CSKA,Olympiacos,FALSE
HILLIARD DARRUN,15:37,4,2/4,0/2,0,0,4,4,1,0,1,0,1,1,1,3,02.25.2021,CSKA,Olympiacos,FALSE
ANTONOV SEMEN,2:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,02.25.2021,CSKA,Olympiacos,FALSE
STRELNIEKS JANIS,7:36,2,1/1,0,0,0,2,2,0,0,1,0,0,1,0,2,02.25.2021,CSKA,Olympiacos,FALSE
VOIGTMANN JOHANNES,19:44,14,3/4,2/4,2/2,0,1,1,2,2,1,0,0,2,2,15,02.25.2021,CSKA,Olympiacos,FALSE
